creators;;;;;;
;creator_id;sort_name;name;creator_gender;creator_nationality;CreatorArtwork
female;;;;;;
;1889;Taylor, Eleanor;Eleanor Taylor;female;English;32540
;1903;Peeters, Isabella;Isabella Peeters;female;Flemish;13532, 21111
;2132;Sharples, Ellen;Ellen Sharples;female;English;10117
;3073;Bateman, Hester;Hester Bateman;female;English;8495
;3209;Hall, Anne;Anne Hall;female;American;5863
;3366;de Ayala, Josefa;Josefa de Ayala;female;Portuguese;8783
;3398;Gerard, Marguerite;Marguerite Gerard;female;French;4553
;3609;Cassatt, Mary;Mary Cassatt;female;American;16554, 9356
;3775;MacKubin, Florence;Florence MacKubin;female;American;6802
;3792;Vigée-Lebrun, Marie Louise Elisabeth;Marie Louise Elisabeth Vigée-Lebrun;female;French;11321
;3958;Sirani, Elisabetta;Elisabetta Sirani;female;Italian;35155, 9874
;4069;Fontana, Lavinia;Lavinia Fontana;female;Italian;13056, 19054, 29078
;4151;Komarujo of Mikawachi;Komarujo of Mikawachi;female;Japanese;35642
;4159;Seiyodo, Bunshojo;Seiyodo Bunshojo;female;Japanese;5141
;4570;de Court, Suzanne;Suzanne de Court;female;French;1196, 9722, 16017
;4944;Jay, Jane Isabelle Lee;Jane Isabelle Lee Jay;female;English;32005
;5311;Templetown, Elizabeth Lady;Lady Elizabeth Templetown;female;British;5578, 3586, 23880, 32078, 17994
;5315;Fratellini, Giovanna;Giovanna Fratellini;female;Italian;7959
;5338;Longhi, Barbara;Barbara Longhi;female;Italian;11457
;5485;Anguissola, Sofonisba;Sofonisba Anguissola;female;Italian;1377
;5564;Fragonard, Marie-Anne;Marie-Anne Fragonard;female;French;26519, 25620
;5746;Freeman, Jane;Jane Freeman;female;English;21167
;5820;Pomey-Ballue, Thérèse;Thérèse Pomey-Ballue;female;French;22590
;6011;Makeig-Jones, Daisy;Daisy Makeig-Jones;female;English;2659
;6418;Vallayer-Coster, Anne Madame;Anne Vallayer-Coster;female;French;6926
;6675;Kuroda, Koryo;Kuroda Koryo;female;Japanese;18131
;6727;Bakhuyzen, Gerardina Jacoba van de Sande;Gerardina Jacoba van de Sande Bakhuyzen;female;Dutch;22688, 28866, 31172, 8184
;6819;Semenova, Maria V.;Maria V. Semenova;female;Russian;82267, 82481, 82340, 82502, 82313, 82299, 82326
;6979;Mee, Anne Foldsone;Anne Foldsone Mee;female;British;14701
;7564;Bonheur, Rosa;Rosa Bonheur;female;French;17872, 30809, 36320, 37377, 6697
;7870;Adams, Katherine;Katherine Adams;female;Italian;19912
;8127;Adler, Mariia V.;Mariia V. Adler;female;Russian;82472, 82319
;8550;Lewis, Edmonia;Edmonia Lewis;female;American;6301
;16327;Capet, Marie Gabrielle;Marie Gabrielle Capet;female;French;10408
;17613;Otagaki, Rengetsu;Otagaki Rengetsu;female;Japanese;18131
;34308;Catherine II Empress of Russia;Catherine II, Empress of Russia;female;Russian;98114, 98165
;34656;Mitchell, Elizabeth Byrd;Elizabeth Byrd Mitchell;female;American;39107
male;;;;;;
;2163;Krafft, Johann Peter;Johann Peter Krafft;male;Austrian;36349
;2595;Hennessy, William John;William John Hennessy;male;Irish;12271, 12456
;2825;Toscani, Giovanni;Giovanni Toscani;male;Italian;24316
;2889;Berruguete, Pedro Gonzales;Pedro Gonzales Berruguete;male;Spanish;32087
;3014;Polykleitos;Polykleitos;male;Greek;9513, 16642, 15224, 10480, 34677
;3086;Prieur, Paul;Paul Prieur;male;Swiss;32321, 18404
;3091;Bening, Simon;Simon Bening;male;Flemish;84341, 84342, 84343, 84344, 15523
;3300;Hall, Peter Adolf;Peter Adolf Hall;male;Swedish;16254, 20974, 25434, 36948, 5939, 39344
;3364;Dutertre, Nicolas Charles;Nicolas Charles Dutertre;male;French;19459
;3462;Pseudo-Herodotus;Pseudo-Herodotus;male;Greek;35934
;3533;Willems, Florent;Florent Willems;male;Belgian;575, 3942
;3625;Grosschedel, Wolfgang;Wolfgang Grosschedel;male;German;77482
;3660;Cock, Jan Claudius de;Jan Claudius de Cock;male;Flemish;14764
;3742;Perkhin, Mikhail;Mikhail Perkhin;male;Russian;15225, 10015, 4432, 40436, 82504, 82488
;4024;Collins, William;William Collins;male;British;7684, 39891
;4230;Brandt, Józef;Józef Brandt;male;Polish;36187
;4371;Tidemand, Adolph;Adolph Tidemand;male;Norweigan;28436
;4493;Faberge, Peter Carl;Peter Carl Fabergé;male;Russian;1327, 4432, 9638, 10015, 14310, 14933, 15225, 19302, 21055, 28720, 29546, 31663, 32058, 32731, 34751, 40436, 76634, 82263, 82274, 82278, 82285, 82292, 82305, 82308, 82311, 82331, 82373, 82388, 82431, 82434, 82441, 82452, 82474, 82475, 82479, 82488, 82494, 82504, 82510
;5127;Madou, Jean Baptiste;Jean Baptiste Madou;male;Belgian;33428
;5207;Schenck, August Friedrich Albrecht;August Friedrich Albrecht Schenck;male;Danish;20829
;5775;Munkácsy, Mihály;Mihály Munkácsy;male;Hungarian;18329
;5842;Fetti, Domenico;Domenico Fetti;male;Italian;26440, 32662
;5934;Aranda, José Jiménez;José Jiménez Aranda;male;Spanish;16631
;6149;Taizan, Mototoshi;Taizan Mototoshi;male;Japanese;12531, 4979
;6477;Maximus, Valerius;Valerius Maximus;male;Roman;24620, 25475, 23002
;6506;Uchikoshi, Hirochika;Uchikoshi Hirochika;male;Japanese;16838, 5358, 5034, 22883, 35207
;6794;Goes, Hugo van der;Hugo van der Goes;male;Netherlandish;26514
;6921;Seymour, James;James Seymour;male;British;17415
;6990;Dixon, Nicholas;Nicholas Dixon;male;English;12013
;7233;Thaulow, Frits;Frits Thaulow;male;Norweigan;20026, 36939
;7288;Climacus, John Saint;Saint John Climacus;male;Syrian;17553, 9603, 90565
;7689;Ganjavi, Nizami;Nizami Ganjavi;male;Azerbaijani;83087, 83088, 83089, 83091, 83092, 83093, 83094, 83095, 83096, 83097, 83098, 83099, 83101, 83102, 83103, 83151, 83152, 83153, 83154, 83155, 83156, 83157, 83158, 83159, 83160, 83161, 83162, 83163, 83164, 83165, 83166, 83167,  83168, 83169, 83170, 83171, 83172, 83173, 83174, 83175, 83176, 83177, 83178, 83179, 83180, 83181, 83182, 83183, 83184, 83185, 83186, 83187, 83188, 83189, 83190, 83191, 83192, 83193, 83194, 83195, 83196, 83197, 83198, 83199, 83200, 83201, 83202, 83203, 83204, 83205, 83206, 83207, 83208, 83209, 83210, 83211, 83212, 83213, 83214, 83215, 83217, 83218, 83219, 83220, 83286, 83287, 83288, 83289, 83290, 83291, 83292, 83293, 83294, 83295, 83296, 83297, 83298, 83299, 83300, 83301, 83302, 83303, 83304, 83305, 83306, 83307, 83308, 83309, 83310, 83311, 83312, 83313, 83314, 83315, 83316, 83317, 83371, 83378, 83379, 83380, 83381, 83382, 83383, 83384, 83385, 83386, 83387, 83388, 83389, 83390, 83391, 83392, 83393, 83394, 83395, 83396, 83397, 83398, 83399, 83400, 83401, 83402, 83403, 83404, 83405, 83406, 83408
;15392;Glykon of Athens;Glykon of Athens;male;Roman;19489, 20681
;16195;Estienne, Robert;Robert Estienne;male;French;85438
;17749;al-Husayni, Haydar;Haydar al-Husayni;male;Persian;6402, 80969, 80970, 82834
;18059;Sahî, Okçuzade Mehmet;Okçuzade Mehmet Sahî;male;Islamic;81206, 30411
;18179;al-Jami, Pir 'Ali;Pir 'Ali al-Jami;male;Islamic;29593, 81300, 81301, 81302, 81308, 83861, 90953, 91116
