artwork_id,creator_id
575,3533
1196,4570
1327,4493
1377,5485
2659,6011
3586,5311
3942,3533
4432,3742
4432,4493
4979,6149
5034,6506
5141,4159
5358,6506
5578,5311
6301,8550
6802,3775
6926,6418
7684,4024
8783,3366
18404,3086
9356,3609
9513,3014
9638,4493
9722,4570
82299,6819
9874,3958
10015,3742
10015,4493
10480,3014
11457,5338
12531,6149
13056,4069
13532,1903
14310,4493
82510,4493
14764,3660
14933,4493
15224,3014
15225,4493
15225,3742
16254,3300
16554,3609
16631,5934
16642,3014
16838,6506
17872,7564
18131,6675
18131,17613
18329,5775
39344,3300
25620,5564
11321,3792
19054,4069
19302,4493
91116,18179
19459,3364
19489,15392
90953,18179
20026,7233
90565,7288
90217,7689
20681,15392
20974,3300
21055,4493
82285,4493
22590,5820
22883,6506
23880,5311
25434,3300
26440,5842
26514,6794
28720,4493
29078,4069
29546,4493
82319,8127
30809,7564
83861,18179
31663,4493
32058,4493
32087,2889
32321,3086
32662,5842
32731,4493
83666,7689
83665,7689
83664,7689
83663,7689
83659,7689
83658,7689
83657,7689
83654,7689
83655,7689
83653,7689
83652,7689
83649,7689
83650,7689
83646,7689
83647,7689
83648,7689
83644,7689
83645,7689
83643,7689
83641,7689
83642,7689
83638,7689
83639,7689
83640,7689
83636,7689
83637,7689
83635,7689
83633,7689
83634,7689
83632,7689
34677,3014
83630,7689
83631,7689
83629,7689
34751,4493
83627,7689
83628,7689
83626,7689
83623,7689
83624,7689
83619,7689
83620,7689
83621,7689
83622,7689
83618,7689
83616,7689
83614,7689
83612,7689
83613,7689
83611,7689
83609,7689
83610,7689
83608,7689
83606,7689
83607,7689
83604,7689
83605,7689
83602,7689
83603,7689
83600,7689
83601,7689
83599,7689
83598,7689
83596,7689
83595,7689
83594,7689
35155,3958
83589,7689
83590,7689
35207,6506
83588,7689
83586,7689
83587,7689
83584,7689
83583,7689
83581,7689
83582,7689
83579,7689
83580,7689
83575,7689
83576,7689
83577,7689
83578,7689
83573,7689
83574,7689
83571,7689
83572,7689
83569,7689
83570,7689
83567,7689
83568,7689
83565,7689
83566,7689
83564,7689
83561,7689
83562,7689
83563,7689
83560,7689
83558,7689
83559,7689
35642,4151
83556,7689
83557,7689
36187,4230
36320,7564
36939,7233
36948,3300
83408,7689
83406,7689
83404,7689
83405,7689
83402,7689
83403,7689
83400,7689
83401,7689
83398,7689
83399,7689
83396,7689
83397,7689
83393,7689
83394,7689
83395,7689
83392,7689
83390,7689
83391,7689
83388,7689
83389,7689
83386,7689
83387,7689
37377,7564
83383,7689
83384,7689
83385,7689
83382,7689
83381,7689
83380,7689
83379,7689
83378,7689
83371,7689
83317,7689
83316,7689
83314,7689
83315,7689
83312,7689
83313,7689
83311,7689
83310,7689
83309,7689
83308,7689
83306,7689
83305,7689
83304,7689
83303,7689
83302,7689
83300,7689
83297,7689
83296,7689
83295,7689
83294,7689
83291,7689
83292,7689
83293,7689
83290,7689
83289,7689
83288,7689
83286,7689
83287,7689
83220,7689
83218,7689
83217,7689
83215,7689
83211,7689
83212,7689
83213,7689
83214,7689
83210,7689
83209,7689
83208,7689
83206,7689
83204,7689
83205,7689
83203,7689
83201,7689
83202,7689
83197,7689
83198,7689
83199,7689
83200,7689
83196,7689
83195,7689
83193,7689
83194,7689
83192,7689
83191,7689
83190,7689
83188,7689
83189,7689
83187,7689
83185,7689
83186,7689
83184,7689
83183,7689
83181,7689
83182,7689
39891,4024
83179,7689
83177,7689
83178,7689
83176,7689
83175,7689
83173,7689
83174,7689
83172,7689
83171,7689
83170,7689
83168,7689
83169,7689
83167,7689
83165,7689
83166,7689
83158,7689
83159,7689
83160,7689
83161,7689
83162,7689
83163,7689
83156,7689
83157,7689
83153,7689
83154,7689
83155,7689
83152,7689
83151,7689
40436,3742
40436,4493
83103,7689
83101,7689
83102,7689
83099,7689
83096,7689
83097,7689
83098,7689
83094,7689
83095,7689
83091,7689
83092,7689
83093,7689
76634,4493
83089,7689
83085,7689
83086,7689
83087,7689
83084,7689
83083,7689
77482,3625
83079,7689
83080,7689
83081,7689
83082,7689
83076,7689
83077,7689
83075,7689
83073,7689
83074,7689
83071,7689
83072,7689
83070,7689
83069,7689
83068,7689
83065,7689
83060,7689
83059,7689
83058,7689
83057,7689
83056,7689
83055,7689
83054,7689
83053,7689
83052,7689
83051,7689
83050,7689
83049,7689
83048,7689
83047,7689
83044,7689
83042,7689
83043,7689
83041,7689
83040,7689
83037,7689
83036,7689
83035,7689
83033,7689
83034,7689
83032,7689
83031,7689
83030,7689
83029,7689
83028,7689
83027,7689
83026,7689
82834,17749
81308,18179
81306,7689
81302,18179
81300,18179
81301,18179
81299,7689
81297,7689
81298,7689
81296,7689
81295,7689
81293,7689
81294,7689
81292,7689
81291,7689
81289,7689
81287,7689
81288,7689
81286,7689
81285,7689
81283,7689
81284,7689
81282,7689
81281,7689
81280,7689
81278,7689
81279,7689
81277,7689
81276,7689
81274,7689
81275,7689
81273,7689
81271,7689
81272,7689
81270,7689
81269,7689
81266,7689
81265,7689
81263,7689
81264,7689
81262,7689
81261,7689
81259,7689
81260,7689
81258,7689
81257,7689
81255,7689
81253,7689
81254,7689
81251,7689
81252,7689
81249,7689
81250,7689
81247,7689
81248,7689
81246,7689
81244,7689
81242,7689
81243,7689
81240,7689
81241,7689
81238,7689
81239,7689
81236,7689
81237,7689
81234,7689
81235,7689
81230,7689
81231,7689
81228,7689
81229,7689
81226,7689
81227,7689
81225,7689
81223,7689
81224,7689
81222,7689
81206,18059
80970,17749
80969,17749
77709,7689
77710,7689
77707,7689
77708,7689
77705,7689
77706,7689
77703,7689
77704,7689
77701,7689
77702,7689
77700,7689
38891,7689
34403,7689
30411,18059
29593,18179
26422,7689
23322,7689
22150,7689
21272,7689
21138,7689
19912,7870
17718,7689
17553,7288
17323,7689
17263,7689
14295,7689
10228,7689
9940,7689
9603,7288
20829,5207
21111,1903
7782,7689
6633,7689
6402,17749
6214,7689
5333,7689
5863,3209
8184,6727
10117,2132
12271,2595
16017,4570
22688,6727
24316,2825
26519,5564
28436,4371
28866,6727
31172,6727
3809,7689
82267,6819
32078,5311
36349,2163
83656,7689
83651,7689
83625,7689
83615,7689
83597,7689
83585,7689
83307,7689
83301,7689
83299,7689
83298,7689
83219,7689
83207,7689
83180,7689
83164,7689
83088,7689
83078,7689
83064,7689
83062,7689
83061,7689
83046,7689
83045,7689
83039,7689
83038,7689
81290,7689
81268,7689
81267,7689
81245,7689
10473,7689
1971,7689
1929,7689
32540,1889
5939,3300
12456,2595
17994,5311
33428,5127
82273,4493
82263,4493
82305,4493
82308,4493
82311,4493
82387,4493
82481,6819
82331,4493
82340,6819
82472,8127
82475,4493
82502,6819
82434,4493
82479,4493
82313,6819
82431,4493
82278,4493
82292,4493
82326,6819
82373,4493
82388,4493
82441,4493
82452,4493
82488,3742
82488,4493
82494,4493
82504,3742
82504,4493
82274,4493
12013,6990
82474,4493
84344,3091
6697,7564
4553,3398
7959,5315
8495,3073
10408,16327
14701,6979
17415,6921
21167,5746
32005,4944
39107,34656
85438,16195
98114,34308
98165,34308
15523,3091
15863,7689
23002,6477
24620,6477
25475,6477
35934,3462
84341,3091
84342,3091
84343,3091
